alert,cdi,code,detail,dmin,felt,gap,ids,mag,magType,mmi,net,nst,place,rms,sig,sources,status,time,title,tsunami,type,types,tz,updated,url
,,38386938,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386938&format=geojson,0.2728,,132.0,",ci38386938,",1.5,ml,,ci,8.0,"5km SSW of Ocotillo Wells, CA",0.23,35,",ci,",automatic,1583618447370,"M 1.5 - 5km SSW of Ocotillo Wells, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583618681077,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386938
,,2020067033,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067033&format=geojson,0.1367,,251.0,",pr2020067033,",0.2,ml,,pr,5.0,"8km SE of La Parguera, Puerto Rico",0.07,1,",pr,",reviewed,1583618186080,"M 0.2 - 8km SE of La Parguera, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583622960947,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067033
,,020335trsz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020335trsz&format=geojson,,,,",ak020335trsz,",1.2,ml,,ak,,"33km ESE of Redoubt Volcano, Alaska",0.39,22,",ak,",automatic,1583618006750,"M 1.2 - 33km ESE of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,",-540,1583618203591,https://earthquake.usgs.gov/earthquakes/eventpage/ak020335trsz
,,71416557,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416557&format=geojson,0.08939,,141.0,",hv71416557,us60008bsq,",2.34,ml,,hv,56.0,"6km ENE of Pahala, Hawaii",0.14,84,",hv,us,",automatic,1583617861340,"M 2.3 - 6km ENE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583618630040,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416557
,,2020067034,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067034&format=geojson,0.1135,,249.0,",pr2020067034,",1.92,md,,pr,5.0,"12km SSE of Guanica, Puerto Rico",0.07,57,",pr,",reviewed,1583617372580,"M 1.9 - 12km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583627704664,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067034
,,020335qsqd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020335qsqd&format=geojson,,,,",ak020335qsqd,",0.3,ml,,ak,,"25km WSW of Ester, Alaska",0.38,1,",ak,",reviewed,1583617178832,"M 0.3 - 25km WSW of Ester, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583617952029,https://earthquake.usgs.gov/earthquakes/eventpage/ak020335qsqd
,,60008bsm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008bsm&format=geojson,2.099,,73.0,",us60008bsm,",4.0,mb,,us,,"237km WNW of Chichi-shima, Japan",0.79,246,",us,",reviewed,1583617157558,"M 4.0 - 237km WNW of Chichi-shima, Japan",0,earthquake,",geoserve,origin,phase-data,",540,1583620328040,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bsm
,,020335o6u8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020335o6u8&format=geojson,,,,",ak020335o6u8,",1.9,ml,,ak,,"66km WNW of Valdez, Alaska",0.84,56,",ak,",automatic,1583616442245,"M 1.9 - 66km WNW of Valdez, Alaska",0,earthquake,",geoserve,origin,",-540,1583616978346,https://earthquake.usgs.gov/earthquakes/eventpage/ak020335o6u8
,,2020067032,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067032&format=geojson,0.1011,,242.0,",pr2020067032,",2.02,md,,pr,4.0,"11km SSE of Maria Antonia, Puerto Rico",0.08,63,",pr,",reviewed,1583616096230,"M 2.0 - 11km SSE of Maria Antonia, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583626533721,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067032
,,020335l5u0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020335l5u0&format=geojson,,,,",ak020335l5u0,",1.7,ml,,ak,,"84km W of Anchor Point, Alaska",0.51,44,",ak,",automatic,1583615589643,"M 1.7 - 84km W of Anchor Point, Alaska",0,earthquake,",geoserve,origin,",-540,1583615833313,https://earthquake.usgs.gov/earthquakes/eventpage/ak020335l5u0
,,73351025,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73351025&format=geojson,0.00951,,52.0,",nc73351025,",0.79,md,,nc,22.0,"7km NW of The Geysers, CA",0.02,10,",nc,",automatic,1583615387750,"M 0.8 - 7km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583616302351,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351025
,,2020067031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067031&format=geojson,0.1133,,248.0,",pr2020067031,",2.57,md,,pr,8.0,"13km SSE of Guanica, Puerto Rico",0.1,102,",pr,",reviewed,1583615343880,"M 2.6 - 13km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583627916480,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067031
,4.5,60008brw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008brw&format=geojson,0.602,160.0,30.0,",us60008brw,",5.2,mww,,us,,"30km SSE of Canico, Portugal",0.62,488,",us,",reviewed,1583614683608,"M 5.2 - 30km SSE of Canico, Portugal",0,earthquake,",dyfi,geoserve,origin,phase-data,",0,1583707297128,https://earthquake.usgs.gov/earthquakes/eventpage/us60008brw
,,2020067030,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067030&format=geojson,0.119,,232.0,",pr2020067030,",2.18,md,,pr,4.0,"7km SE of La Parguera, Puerto Rico",0.05,73,",pr,",reviewed,1583614269720,"M 2.2 - 7km SE of La Parguera, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583623467139,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067030
,,0203357rf2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203357rf2&format=geojson,,,,",ak0203357rf2,",1.6,ml,,ak,,"137km NW of Talkeetna, Alaska",0.6,39,",ak,",automatic,1583614257425,"M 1.6 - 137km NW of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1583614458042,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203357rf2
,,38386922,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386922&format=geojson,0.03263,,84.0,",ci38386922,",0.44,ml,,ci,18.0,"13km WNW of Anza, CA",0.14,3,",ci,",automatic,1583613968620,"M 0.4 - 13km WNW of Anza, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583614192078,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386922
,,0203356d9y,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203356d9y&format=geojson,,,,",ak0203356d9y,",2.4,ml,,ak,,"52km NW of Nikiski, Alaska",0.37,89,",ak,",automatic,1583613847406,"M 2.4 - 52km NW of Nikiski, Alaska",0,earthquake,",geoserve,origin,",-540,1583614679169,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203356d9y
,,38386914,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386914&format=geojson,0.09317,,60.0,",ci38386914,",1.78,ml,,ci,20.0,"3km NNW of Boron, CA",0.32,49,",ci,",automatic,1583613660250,"M 1.8 Quarry Blast - 3km NNW of Boron, CA",0,quarry blast,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583613912605,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386914
,,0203353w3s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203353w3s&format=geojson,,,,",ak0203353w3s,",1.6,ml,,ak,,"83km NNW of Talkeetna, Alaska",0.72,39,",ak,",automatic,1583613173730,"M 1.6 - 83km NNW of Talkeetna, Alaska",0,earthquake,",geoserve,origin,",-540,1583613484195,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203353w3s
,,60008bre,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us60008bre&format=geojson,2.348,,164.0,",us60008bre,",4.3,mb,,us,,"88km SW of Paredon, Mexico",0.89,284,",us,",reviewed,1583613032364,"M 4.3 - 88km SW of Paredon, Mexico",0,earthquake,",geoserve,origin,phase-data,",-360,1583625700040,https://earthquake.usgs.gov/earthquakes/eventpage/us60008bre
,,0203352cby,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203352cby&format=geojson,,,,",ak0203352cby,",1.7,ml,,ak,,"114km SE of Old Iliamna, Alaska",0.97,44,",ak,",automatic,1583612728813,"M 1.7 - 114km SE of Old Iliamna, Alaska",0,earthquake,",geoserve,origin,",-540,1583613382963,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203352cby
,,38386906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386906&format=geojson,0.05593,,101.0,",ci38386906,",1.35,ml,,ci,30.0,"8km NE of Indio, CA",0.2,28,",ci,",automatic,1583612473750,"M 1.4 - 8km NE of Indio, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583612697617,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386906
,,71416472,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416472&format=geojson,0.09779,,139.0,",hv71416472,",2.24,ml,,hv,49.0,"9km ENE of Pahala, Hawaii",0.12,77,",hv,",automatic,1583612356930,"M 2.2 - 9km ENE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583612691960,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416472
,,71416467,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416467&format=geojson,0.1356,,245.0,",hv71416467,",2.15,ml,,hv,9.0,"9km E of Pahala, Hawaii",0.08,71,",hv,",automatic,1583612319300,"M 2.2 - 9km E of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583612653900,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416467
,,38386898,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386898&format=geojson,0.05877,,84.0,",ci38386898,",1.99,ml,,ci,49.0,"9km NE of Indio, CA",0.19,61,",ci,",automatic,1583611381670,"M 2.0 - 9km NE of Indio, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583612041340,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386898
,,73351005,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73351005&format=geojson,0.01163,,106.0,",nc73351005,",2.49,md,,nc,8.0,"8km NW of The Geysers, CA",0.01,95,",nc,",automatic,1583610859580,"M 2.5 - 8km NW of The Geysers, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583619304650,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351005
,,73351000,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73351000&format=geojson,0.009927,,52.0,",nc73351000,",1.34,md,,nc,26.0,"8km NW of The Geysers, CA",0.03,28,",nc,",automatic,1583610818050,"M 1.3 - 8km NW of The Geysers, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583618224550,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351000
,,2020067029,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067029&format=geojson,0.1092,,247.0,",pr2020067029,",2.0,md,,pr,5.0,"12km SSE of Guanica, Puerto Rico",0.11,62,",pr,",reviewed,1583609547740,"M 2.0 - 12km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583619344621,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067029
,2.7,38386874,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386874&format=geojson,0.05895,1.0,84.0,",ci38386874,",2.26,ml,,ci,59.0,"9km NE of Indio, CA",0.2,79,",ci,",automatic,1583609483840,"M 2.3 - 9km NE of Indio, CA",0,earthquake,",dyfi,focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583610141190,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386874
,,38386866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386866&format=geojson,0.06721,,56.0,",ci38386866,",2.15,ml,,ci,26.0,"24km NNW of Searles Valley, CA",0.16,71,",ci,",automatic,1583608091920,"M 2.2 - 24km NNW of Searles Valley, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583608750540,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386866
,,020334cuuy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020334cuuy&format=geojson,,,,",ak020334cuuy,",2.3,ml,,ak,,"5km SW of Big Lake, Alaska",0.67,81,",ak,",automatic,1583607998234,"M 2.3 - 5km SW of Big Lake, Alaska",0,earthquake,",geoserve,origin,",-540,1583608344613,https://earthquake.usgs.gov/earthquakes/eventpage/ak020334cuuy
,,2020067028,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067028&format=geojson,0.1253,,253.0,",pr2020067028,",1.76,md,,pr,6.0,"14km SSE of Guanica, Puerto Rico",0.23,48,",pr,",reviewed,1583607982140,"M 1.8 - 14km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583618734405,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067028
,,0203342b4s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0203342b4s&format=geojson,,,,",ak0203342b4s,",1.6,ml,,ak,,"4km WNW of Y, Alaska",0.43,39,",ak,",automatic,1583607457369,"M 1.6 - 4km WNW of Y, Alaska",0,earthquake,",geoserve,origin,",-540,1583607681029,https://earthquake.usgs.gov/earthquakes/eventpage/ak0203342b4s
,,2020067027,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067027&format=geojson,0.0335,,213.0,",pr2020067027,",2.77,md,,pr,8.0,"4km SE of Maria Antonia, Puerto Rico",0.16,118,",pr,",reviewed,1583607176790,"M 2.8 - 4km SE of Maria Antonia, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583615027576,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067027
,,2020067026,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067026&format=geojson,0.132,,255.0,",pr2020067026,",2.75,md,,pr,5.0,"14km SSE of Guanica, Puerto Rico",0.2,116,",pr,",reviewed,1583606900050,"M 2.8 - 14km SSE of Guanica, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583611876842,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067026
,,2020067025,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2020067025&format=geojson,0.0677,,172.0,",pr2020067025,",2.84,md,,pr,4.0,"0km NE of Indios, Puerto Rico",0.05,124,",pr,",reviewed,1583606193820,"M 2.8 - 0km NE of Indios, Puerto Rico",0,earthquake,",geoserve,origin,phase-data,",-240,1583608851699,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020067025
,,020333sheo,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020333sheo&format=geojson,,,,",ak020333sheo,",2.1,ml,,ak,,"59km WNW of Haines Junction, Canada",1.16,68,",ak,",automatic,1583604693140,"M 2.1 - 59km WNW of Haines Junction, Canada",0,earthquake,",geoserve,origin,",-480,1583604961967,https://earthquake.usgs.gov/earthquakes/eventpage/ak020333sheo
,,71416342,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416342&format=geojson,0.0383,,157.0,",hv71416342,",2.01,md,,hv,23.0,"6km E of Pahala, Hawaii",0.15,62,",hv,",automatic,1583604515340,"M 2.0 - 6km E of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583604705950,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416342
,,60307496,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm60307496&format=geojson,0.4685,,66.0,",nm60307496,us60008bpy,",2.21,md,,nm,37.0,"19km SSE of Alton, Missouri",0.24,75,",nm,us,",reviewed,1583604002270,"M 2.2 - 19km SSE of Alton, Missouri",0,earthquake,",geoserve,origin,phase-data,",-360,1583605438040,https://earthquake.usgs.gov/earthquakes/eventpage/nm60307496
,,38386730,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386730&format=geojson,0.06381,,129.0,",ci38386730,",1.47,ml,,ci,21.0,"16km W of Searles Valley, CA",0.22,33,",ci,",automatic,1583603808090,"M 1.5 - 16km W of Searles Valley, CA",0,earthquake,",geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583604032624,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386730
,,020333gojg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak020333gojg&format=geojson,,,,",ak020333gojg,",1.8,ml,,ak,,"9km SSW of Redoubt Volcano, Alaska",0.48,50,",ak,",reviewed,1583603787680,"M 1.8 - 9km SSW of Redoubt Volcano, Alaska",0,earthquake,",geoserve,origin,phase-data,",-540,1583604308587,https://earthquake.usgs.gov/earthquakes/eventpage/ak020333gojg
,,71416327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416327&format=geojson,0.1139,,209.0,",hv71416327,",1.84,md,,hv,27.0,"8km ESE of Pahala, Hawaii",0.25,52,",hv,",automatic,1583603676240,"M 1.8 - 8km ESE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583603789490,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416327
,,71416332,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv71416332&format=geojson,0.02498,,132.0,",hv71416332,us60008bpx,",2.31,ml,,hv,53.0,"6km NNE of Pahala, Hawaii",0.15,82,",hv,us,",automatic,1583603670700,"M 2.3 - 6km NNE of Pahala, Hawaii",0,earthquake,",geoserve,origin,phase-data,",-600,1583604771040,https://earthquake.usgs.gov/earthquakes/eventpage/hv71416332
,,38386722,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci38386722&format=geojson,0.06493,,75.0,",ci38386722,",2.42,ml,,ci,32.0,"14km S of Searles Valley, CA",0.15,90,",ci,",automatic,1583603619080,"M 2.4 - 14km S of Searles Valley, CA",0,earthquake,",focal-mechanism,geoserve,nearby-cities,origin,phase-data,scitech-link,",-480,1583604267600,https://earthquake.usgs.gov/earthquakes/eventpage/ci38386722
